,id,price_category,make,year,mileage,power,car_type,color,fuel_type,transmission,n_doors,n_cylinders,displacement,dry_weight,acceleration,top_speed,n_seats,emission,emission_label,flg_missing_power,flg_missing_car_type,flg_missing_color,flg_missing_fuel_type,flg_missing_transmission,flg_missing_n_doors,flg_missing_n_cylinders,flg_missing_displacement,flg_missing_dry_weight,flg_missing_acceleration,flg_missing_top_speed,flg_missing_n_seats,flg_missing_emission,flg_missing_emission_label,car_maker,Color Dutch,Color English,class,average price,car_make,country
0,2,5 (10K-15K),volkswagen,2012,168390,160,stationwagon,wit,benzine,Handgeschakeld,5,4,1798,1490,9.0,211,5,82,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,wit,White,,,volkswagen,Germany
1,3,6 (> 15K),renault,2015,12170,200,hatchback,wit,benzine,Automaat,5,4,1618,1179,7.0,230,5,37,Euro6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,renault,wit,White,6 (> 15K),,renault,France
2,4,3 (2K-5K),renault,2008,233485,103,mpv,blauw,diesel,Handgeschakeld,5,4,1461,1340,12.4,176,5,41,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,renault,blauw,Blue,3 (2K-5K),2500.0,renault,France
3,5,4 (5K-10K),mercedes-benz,2012,287567,109,mpv,zwart,diesel,Automaat,5,4,1796,1405,10.7,190,5,18,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mercedes-benz,zwart,Black,4 (5K-10K),7500.0,mercedes-benz,Germany
4,7,6 (> 15K),kia,2013,72565,,coupe,oranje,diesel,Automaat,2,,,1285,99.9,,5,1,,1,0,0,0,0,0,1,1,0,0,1,0,0,1,kia,,,6 (> 15K),,kia,South Korea
5,9,1 (< 1K),opel,2000,130821,65,hatchback,grijs,benzine,Handgeschakeld,2,4,1199,850,14.0,163,5,55,Euro2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opel,grijs,Gray,1 (< 1K),500.0,opel,Germany
6,10,6 (> 15K),nissan,2012,111500,117,,zwart,benzine,Handgeschakeld,,4,1598,1210,11.9,181,5,43,Euro5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,nissan,zwart,Black,6 (> 15K),,nissan,Japan
7,11,4 (5K-10K),fiat,2010,107145,101,hatchback,wit,benzine,Handgeschakeld,2,4,1368,915,10.7,182,4,39,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiat,wit,White,4 (5K-10K),7500.0,fiat,Italy
8,12,3 (2K-5K),mini,2003,119144,116,hatchback,grijs,benzine,Handgeschakeld,3,4,1598,1050,9.1,200,4,67,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mini,grijs,Gray,3 (2K-5K),2500.0,mini,United Kingdom
9,13,3 (2K-5K),renault,2010,71248,75,hatchback,wit,benzine,Handgeschakeld,3,4,1198,850,12.0,178,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,renault,wit,White,3 (2K-5K),2500.0,renault,France
10,14,2 (1K-2K),opel,2003,100555,75,mpv,geel,benzine,Handgeschakeld,5,4,1199,955,13.5,155,,55,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,opel,geel,Yellow,2 (1K-2K),1500.0,opel,Germany
11,15,3 (2K-5K),bmw,2005,196747,116,stationwagon,grijs,benzine,Handgeschakeld,5,4,1796,1365,11.0,200,5,81,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw,grijs,Gray,3 (2K-5K),2500.0,bmw,Germany
12,16,3 (2K-5K),renault,2006,111626,88,mpv,zwart,benzine,Handgeschakeld,5,4,1598,1145,10.0,188,5,67,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,renault,zwart,Black,3 (2K-5K),2500.0,renault,France
13,17,4 (5K-10K),mitsubishi,2007,64732,165,cabriolet,grijs,benzine,,,,,,,,,1,,0,0,0,0,1,1,1,1,1,1,1,1,0,1,mitsubishi,grijs,Gray,4 (5K-10K),7500.0,mitsubishi,Japan
14,18,3 (2K-5K),saab,2004,283569,120,sedan,zwart,diesel,Handgeschakeld,4,4,2171,1535,11.0,200,5,79,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,saab,zwart,Black,3 (2K-5K),2500.0,saab,Sweden
15,19,4 (5K-10K),hyundai,2010,72126,,mpv,wit,benzine,Handgeschakeld,4,4,1248,,12.9,,5,1,Euro4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,hyundai,wit,White,4 (5K-10K),7500.0,hyundai,South Korea
16,20,4 (5K-10K),bmw,2001,49853,192,sedan,zilver,benzine,Automaat,4,6,2494,1500,9.0,232,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,bmw,zilver,Silver,4 (5K-10K),7500.0,bmw,Germany
17,21,3 (2K-5K),nissan,2004,266095,82,hatchback,blauw,diesel,Handgeschakeld,3,4,1461,954,13.0,170,5,23,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nissan,blauw,Blue,3 (2K-5K),2500.0,nissan,Japan
18,22,5 (10K-15K),volkswagen,2014,91706,150,hatchback,zwart,diesel,Automaat,5,4,1968,1294,8.6,212,5,23,Euro6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,zwart,Black,,,volkswagen,Germany
19,23,3 (2K-5K),kia,2004,138820,82,hatchback,grijs,benzine,Handgeschakeld,5,4,1343,1044,14.0,165,5,62,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kia,grijs,Gray,3 (2K-5K),2500.0,kia,South Korea
20,24,2 (1K-2K),peugeot,2001,208062,75,hatchback,grijs,benzine,,,,,,,,,1,,0,0,0,0,1,1,1,1,1,1,1,1,0,1,peugeot,grijs,Gray,2 (1K-2K),1500.0,peugeot,France
21,25,5 (10K-15K),volkswagen,2013,67880,122,hatchback,zwart,benzine,Handgeschakeld,5,4,1395,1147,9.0,203,5,27,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,zwart,Black,,,volkswagen,Germany
22,27,6 (> 15K),porsche,2007,97740,480,coupe,grijs,benzine,Automaat,2,6,3600,1595,4.0,310,4,215,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,porsche,grijs,Gray,6 (> 15K),,porsche,Germany
23,28,5 (10K-15K),audi,2008,233250,191,sedan,blauw,diesel,Automaat,4,,2698,1570,77.0,226,5,80,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,audi,blauw,Blue,,,audi,Germany
24,29,1 (< 1K),citroen,2008,277361,170,stationwagon,blauw,diesel,Handgeschakeld,5,4,2179,1740,10.4,216,5,79,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,citroen,blauw,Blue,1 (< 1K),500.0,citroen,France
25,30,5 (10K-15K),saab,2011,123569,131,sedan,zwart,diesel,Handgeschakeld,4,4,1910,1480,9.0,225,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,saab,zwart,Black,,,saab,Sweden
26,31,4 (5K-10K),peugeot,2015,31630,70,hatchback,zwart,benzine,Handgeschakeld,5,3,998,815,99.9,,4,255,Euro5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,peugeot,zwart,Black,4 (5K-10K),7500.0,peugeot,France
27,32,4 (5K-10K),volkswagen,2010,199549,90,hatchback,grijs,diesel,Handgeschakeld,5,4,1598,1057,11.5,180,5,13,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,grijs,Gray,4 (5K-10K),7500.0,volkswagen,Germany
28,33,4 (5K-10K),volkswagen,2008,190316,123,sedan,grijs,benzine,Handgeschakeld,4,4,1390,1283,9.8,199,5,57,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,grijs,Gray,4 (5K-10K),7500.0,volkswagen,Germany
29,34,2 (1K-2K),opel,2002,206998,90,hatchback,blauw,benzine,Handgeschakeld,2,,1389,955,11.5,180,5,77,Euro4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,opel,blauw,Blue,2 (1K-2K),1500.0,opel,Germany
30,35,4 (5K-10K),volkswagen,2011,286968,105,sedan,blauw,diesel,Handgeschakeld,4,4,1598,,,190,5,1,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,volkswagen,blauw,Blue,4 (5K-10K),7500.0,volkswagen,Germany
31,36,4 (5K-10K),volkswagen,2013,144853,75,hatchback,zwart,diesel,Handgeschakeld,5,3,1199,1050,13.9,173,5,255,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,zwart,Black,4 (5K-10K),7500.0,volkswagen,Germany
32,37,4 (5K-10K),citroën,2010,127373,120,mpv,grijs,benzine,Handgeschakeld,5,4,1598,1433,,,,1,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,citroen,grijs,Gray,4 (5K-10K),7500.0,citroen,France
33,38,2 (1K-2K),daewoo,2002,96149,83,hatchback,blauw,benzine,Handgeschakeld,4,4,1399,995,12.1,170,5,79,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,daewoo,blauw,Blue,2 (1K-2K),1500.0,daewoo,South Korea
34,39,2 (1K-2K),renault,2005,194638,98,hatchback,blauw,benzine,Handgeschakeld,4,4,1390,975,,,5,64,Euro3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,renault,blauw,Blue,2 (1K-2K),1500.0,renault,France
35,40,6 (> 15K),mercedes-benz,2006,221646,272,,grijs,lpg,Automaat,,6,3498,2105,8.0,215,5,181,Euro4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,mercedes-benz,grijs,Gray,6 (> 15K),,mercedes-benz,Germany
36,41,1 (< 1K),volvo,1998,265279,,sedan,blauw,benzine,Handgeschakeld,4,5,1984,,,,5,1,Euro2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,volvo,blauw,Blue,1 (< 1K),500.0,volvo,South Korea
37,43,3 (2K-5K),volvo,2004,480951,209,sedan,grijs,lpg g3,Automaat,4,5,2521,1638,,,,1,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,volvo,grijs,Gray,3 (2K-5K),2500.0,volvo,South Korea
38,44,1 (< 1K),honda,1999,204792,150,mpv,grijs,lpg g3,Automaat,5,4,2254,1513,12.0,185,6,158,Euro2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda,grijs,Gray,1 (< 1K),500.0,honda,Japan
39,45,4 (5K-10K),toyota,2014,31000,69,hatchback,grijs,benzine,Handgeschakeld,5,3,998,,,160,4,1,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,toyota,grijs,Gray,4 (5K-10K),7500.0,toyota,Japan
40,46,5 (10K-15K),honda,2012,145505,141,hatchback,blauw,benzine,Handgeschakeld,4,4,1798,1241,9.4,215,5,49,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda,blauw,Blue,,,honda,Japan
41,48,2 (1K-2K),renault,2003,253963,80,stationwagon,groen,diesel,Handgeschakeld,4,4,1870,1185,,,5,52,Euro3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,renault,groen,Green,2 (1K-2K),1500.0,renault,France
42,49,3 (2K-5K),volkswagen,2004,156300,54,hatchback,zwart,benzine,Handgeschakeld,3,3,1198,970,17.5,152,5,46,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,zwart,Black,3 (2K-5K),2500.0,volkswagen,Germany
43,50,2 (1K-2K),ford,2001,251645,145,stationwagon,zwart,benzine,Handgeschakeld,5,4,1999,,,210,5,1,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,ford,zwart,Black,2 (1K-2K),1500.0,ford,United States
44,51,1 (< 1K),opel,2000,321736,82,stationwagon,beige,diesel,Handgeschakeld,5,,1994,1249,,,,65,Euro2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,opel,beige,Beige,1 (< 1K),500.0,opel,Germany
45,52,4 (5K-10K),mercedes-benz,2007,106965,136,mpv,zwart,benzine,Automaat,5,4,2035,1290,10.3,195,5,84,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mercedes-benz,zwart,Black,4 (5K-10K),7500.0,mercedes-benz,Germany
46,53,4 (5K-10K),audi,2008,296182,141,stationwagon,zwart,diesel,Handgeschakeld,5,4,1968,1465,10.0,207,5,58,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi,zwart,Black,4 (5K-10K),7500.0,audi,Germany
47,54,2 (1K-2K),suzuki,2002,99575,76,hatchback,grijs,benzine,Handgeschakeld,5,4,1298,905,12.5,155,4,49,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suzuki,grijs,Gray,2 (1K-2K),1500.0,suzuki,Japan
48,56,1 (< 1K),ford,2005,283452,116,stationwagon,zilver,diesel,Handgeschakeld,5,,1998,,,,,57,Euro3,0,0,0,0,0,0,1,0,1,1,1,1,0,0,ford,zilver,Silver,1 (< 1K),500.0,ford,United States
49,57,5 (10K-15K),hyundai,2015,34478,84,hatchback,zwart,benzine,Handgeschakeld,4,4,1248,955,13.1,170,5,13,Euro6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hyundai,zwart,Black,,,hyundai,South Korea
