,id,price_category,make,year,mileage,power,car_type,color,fuel_type,transmission,n_doors,n_cylinders,displacement,dry_weight,acceleration,top_speed,n_seats,emission,emission_label,flg_missing_power,flg_missing_car_type,flg_missing_color,flg_missing_fuel_type,flg_missing_transmission,flg_missing_n_doors,flg_missing_n_cylinders,flg_missing_displacement,flg_missing_dry_weight,flg_missing_acceleration,flg_missing_top_speed,flg_missing_n_seats,flg_missing_emission,flg_missing_emission_label,car_maker,Color Dutch,Color English,class,average price,car_make,country,class_rank
0,2,5 (10K-15K),volkswagen,2012,168390,160.0,stationwagon,wit,benzine,Handgeschakeld,5.0,4.0,1798.0,1490.0,9.0,211.0,5.0,82.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,wit,White,,,volkswagen,Germany,5
1,3,6 (> 15K),renault,2015,12170,200.0,hatchback,wit,benzine,Automaat,5.0,4.0,1618.0,1179.0,7.0,230.0,5.0,37.0,Euro6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,renault,wit,White,6 (> 15K),,renault,France,6
2,4,3 (2K-5K),renault,2008,233485,103.0,mpv,blauw,diesel,Handgeschakeld,5.0,4.0,1461.0,1340.0,12.4,176.0,5.0,41.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,renault,blauw,Blue,3 (2K-5K),2500.0,renault,France,3
3,5,4 (5K-10K),mercedes-benz,2012,287567,109.0,mpv,zwart,diesel,Automaat,5.0,4.0,1796.0,1405.0,10.7,190.0,5.0,18.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mercedes-benz,zwart,Black,4 (5K-10K),7500.0,mercedes-benz,Germany,4
4,7,6 (> 15K),kia,2013,72565,,coupe,oranje,diesel,Automaat,2.0,,,1285.0,99.9,,5.0,1.0,,1,0,0,0,0,0,1,1,0,0,1,0,0,1,kia,,,6 (> 15K),,kia,South Korea,6
5,9,1 (< 1K),opel,2000,130821,65.0,hatchback,grijs,benzine,Handgeschakeld,2.0,4.0,1199.0,850.0,14.0,163.0,5.0,55.0,Euro2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opel,grijs,Gray,1 (< 1K),500.0,opel,Germany,1
6,10,6 (> 15K),nissan,2012,111500,117.0,,zwart,benzine,Handgeschakeld,,4.0,1598.0,1210.0,11.9,181.0,5.0,43.0,Euro5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,nissan,zwart,Black,6 (> 15K),,nissan,Japan,6
7,11,4 (5K-10K),fiat,2010,107145,101.0,hatchback,wit,benzine,Handgeschakeld,2.0,4.0,1368.0,915.0,10.7,182.0,4.0,39.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiat,wit,White,4 (5K-10K),7500.0,fiat,Italy,4
8,12,3 (2K-5K),mini,2003,119144,116.0,hatchback,grijs,benzine,Handgeschakeld,3.0,4.0,1598.0,1050.0,9.1,200.0,4.0,67.0,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mini,grijs,Gray,3 (2K-5K),2500.0,mini,United Kingdom,3
9,13,3 (2K-5K),renault,2010,71248,75.0,hatchback,wit,benzine,Handgeschakeld,3.0,4.0,1198.0,850.0,12.0,178.0,5.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,renault,wit,White,3 (2K-5K),2500.0,renault,France,3
10,14,2 (1K-2K),opel,2003,100555,75.0,mpv,geel,benzine,Handgeschakeld,5.0,4.0,1199.0,955.0,13.5,155.0,,55.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,opel,geel,Yellow,2 (1K-2K),1500.0,opel,Germany,2
11,15,3 (2K-5K),bmw,2005,196747,116.0,stationwagon,grijs,benzine,Handgeschakeld,5.0,4.0,1796.0,1365.0,11.0,200.0,5.0,81.0,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw,grijs,Gray,3 (2K-5K),2500.0,bmw,Germany,3
12,16,3 (2K-5K),renault,2006,111626,88.0,mpv,zwart,benzine,Handgeschakeld,5.0,4.0,1598.0,1145.0,10.0,188.0,5.0,67.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,renault,zwart,Black,3 (2K-5K),2500.0,renault,France,3
13,17,4 (5K-10K),mitsubishi,2007,64732,165.0,cabriolet,grijs,benzine,,,,,,,,,1.0,,0,0,0,0,1,1,1,1,1,1,1,1,0,1,mitsubishi,grijs,Gray,4 (5K-10K),7500.0,mitsubishi,Japan,4
14,18,3 (2K-5K),saab,2004,283569,120.0,sedan,zwart,diesel,Handgeschakeld,4.0,4.0,2171.0,1535.0,11.0,200.0,5.0,79.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,saab,zwart,Black,3 (2K-5K),2500.0,saab,Sweden,3
15,19,4 (5K-10K),hyundai,2010,72126,,mpv,wit,benzine,Handgeschakeld,4.0,4.0,1248.0,,12.9,,5.0,1.0,Euro4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,hyundai,wit,White,4 (5K-10K),7500.0,hyundai,South Korea,4
16,20,4 (5K-10K),bmw,2001,49853,192.0,sedan,zilver,benzine,Automaat,4.0,6.0,2494.0,1500.0,9.0,232.0,5.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,bmw,zilver,Silver,4 (5K-10K),7500.0,bmw,Germany,4
17,21,3 (2K-5K),nissan,2004,266095,82.0,hatchback,blauw,diesel,Handgeschakeld,3.0,4.0,1461.0,954.0,13.0,170.0,5.0,23.0,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nissan,blauw,Blue,3 (2K-5K),2500.0,nissan,Japan,3
18,22,5 (10K-15K),volkswagen,2014,91706,150.0,hatchback,zwart,diesel,Automaat,5.0,4.0,1968.0,1294.0,8.6,212.0,5.0,23.0,Euro6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,zwart,Black,,,volkswagen,Germany,5
19,23,3 (2K-5K),kia,2004,138820,82.0,hatchback,grijs,benzine,Handgeschakeld,5.0,4.0,1343.0,1044.0,14.0,165.0,5.0,62.0,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kia,grijs,Gray,3 (2K-5K),2500.0,kia,South Korea,3
20,24,2 (1K-2K),peugeot,2001,208062,75.0,hatchback,grijs,benzine,,,,,,,,,1.0,,0,0,0,0,1,1,1,1,1,1,1,1,0,1,peugeot,grijs,Gray,2 (1K-2K),1500.0,peugeot,France,2
21,25,5 (10K-15K),volkswagen,2013,67880,122.0,hatchback,zwart,benzine,Handgeschakeld,5.0,4.0,1395.0,1147.0,9.0,203.0,5.0,27.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,zwart,Black,,,volkswagen,Germany,5
22,27,6 (> 15K),porsche,2007,97740,480.0,coupe,grijs,benzine,Automaat,2.0,6.0,3600.0,1595.0,4.0,310.0,4.0,215.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,porsche,grijs,Gray,6 (> 15K),,porsche,Germany,6
23,28,5 (10K-15K),audi,2008,233250,191.0,sedan,blauw,diesel,Automaat,4.0,,2698.0,1570.0,77.0,226.0,5.0,80.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,audi,blauw,Blue,,,audi,Germany,5
24,29,1 (< 1K),citroen,2008,277361,170.0,stationwagon,blauw,diesel,Handgeschakeld,5.0,4.0,2179.0,1740.0,10.4,216.0,5.0,79.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,citroen,blauw,Blue,1 (< 1K),500.0,citroen,France,1
25,30,5 (10K-15K),saab,2011,123569,131.0,sedan,zwart,diesel,Handgeschakeld,4.0,4.0,1910.0,1480.0,9.0,225.0,5.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,saab,zwart,Black,,,saab,Sweden,5
26,31,4 (5K-10K),peugeot,2015,31630,70.0,hatchback,zwart,benzine,Handgeschakeld,5.0,3.0,998.0,815.0,99.9,,4.0,255.0,Euro5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,peugeot,zwart,Black,4 (5K-10K),7500.0,peugeot,France,4
27,32,4 (5K-10K),volkswagen,2010,199549,90.0,hatchback,grijs,diesel,Handgeschakeld,5.0,4.0,1598.0,1057.0,11.5,180.0,5.0,13.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,grijs,Gray,4 (5K-10K),7500.0,volkswagen,Germany,4
28,33,4 (5K-10K),volkswagen,2008,190316,123.0,sedan,grijs,benzine,Handgeschakeld,4.0,4.0,1390.0,1283.0,9.8,199.0,5.0,57.0,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,grijs,Gray,4 (5K-10K),7500.0,volkswagen,Germany,4
29,34,2 (1K-2K),opel,2002,206998,90.0,hatchback,blauw,benzine,Handgeschakeld,2.0,,1389.0,955.0,11.5,180.0,5.0,77.0,Euro4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,opel,blauw,Blue,2 (1K-2K),1500.0,opel,Germany,2
30,35,4 (5K-10K),volkswagen,2011,286968,105.0,sedan,blauw,diesel,Handgeschakeld,4.0,4.0,1598.0,,,190.0,5.0,1.0,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,volkswagen,blauw,Blue,4 (5K-10K),7500.0,volkswagen,Germany,4
31,36,4 (5K-10K),volkswagen,2013,144853,75.0,hatchback,zwart,diesel,Handgeschakeld,5.0,3.0,1199.0,1050.0,13.9,173.0,5.0,255.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,zwart,Black,4 (5K-10K),7500.0,volkswagen,Germany,4
